2020
603801.SH  志邦家居 家居用品  600 4year 当前价格：25.95 估计价格：55.38
600674.SH  川投能源 水力发电  600 28year 当前价格：8.87 估计价格：30.84
002802.SZ  洪汇新材 化工原料  600 5year 当前价格：18.55 估计价格：6.01
601006.SH  大秦铁路 铁路  600 15year 当前价格：6.95 估计价格：7.04
300620.SZ  光库科技 元器件  600 4year 当前价格：36.30 估计价格：11.41
002931.SZ  锋龙股份 汽车配件  600 3year 当前价格：26.34 估计价格：12.35
601238.SH  广汽集团 汽车整车  600 9year 当前价格：10.47 估计价格：7.30
601601.SH  中国太保 保险  600 14year 当前价格：29.62 估计价格：37.45
603365.SH  水星家纺 纺织  600 4year 当前价格：13.80 估计价格：31.13
300752.SZ  隆利科技 元器件  600 3year 当前价格：23.96 估计价格：75.97
601158.SH  重庆水务 水务  600 11year 当前价格：5.32 估计价格：2.48
002892.SZ  科力尔 电气设备  600 4year 当前价格：24.04 估计价格：9.77
603127.SH  昭衍新药 医疗保健  600 4year 当前价格：102.73 估计价格：129.74
601858.SH  中国科传 出版业  590 4year 当前价格：9.59 估计价格：7.20
002878.SZ  元隆雅图 文教休闲  590 4year 当前价格：33.78 估计价格：10.80
002928.SZ  华夏航空 空运  590 3year 当前价格：13.69 估计价格：34.78
600380.SH  健康元 化学制药  590 20year 当前价格：12.91 估计价格：3.40
002624.SZ  完美世界 影视音像  590 10year 当前价格：46.50 估计价格：102.36
000049.SZ  德赛电池 电气设备  590 26year 当前价格：47.50 估计价格：106.09
603289.SH  泰瑞机器 专用机械  590 4year 当前价格：8.21 估计价格：5.27
603607.SH  京华激光 造纸  590 4year 当前价格：19.86 估计价格：13.60
300609.SZ  汇纳科技 互联网  590 4year 当前价格：35.10 估计价格：16.74
000650.SZ  仁和药业 中成药  590 25year 当前价格：6.14 估计价格：4.91
002937.SZ  兴瑞科技 元器件  590 3year 当前价格：13.18 估计价格：23.89
603258.SH  电魂网络 互联网  590 5year 当前价格：34.10 估计价格：10.14
600196.SH  复星医药 化学制药  590 23year 当前价格：33.44 估计价格：6.88
300743.SZ  天地数码 IT设备  590 3year 当前价格：15.45 估计价格：1.21
603669.SH  灵康药业 化学制药  590 6year 当前价格：11.26 估计价格：6.85
000869.SZ  张裕A 红黄酒  590 21year 当前价格：25.26 估计价格：8.24
601360.SH  三六零 互联网  590 9year 当前价格：18.60 估计价格：4.42
600901.SH  江苏租赁 多元金融  590 3year 当前价格：5.37 估计价格：22.06
002117.SZ  东港股份 广告包装  590 14year 当前价格：11.21 估计价格：5.75
002139.SZ  拓邦股份 元器件  590 14year 当前价格：5.67 估计价格：8.54
002773.SZ  康弘药业 化学制药  590 6year 当前价格：38.75 估计价格：25.13
300610.SZ  晨化股份 化工原料  590 4year 当前价格：12.00 估计价格：7.12
603590.SH  康辰药业 化学制药  590 3year 当前价格：35.53 估计价格：20.34
002918.SZ  蒙娜丽莎 其他建材  590 4year 当前价格：27.32 估计价格：63.20
603639.SH  海利尔 农药化肥  590 4year 当前价格：28.95 估计价格：134.71
300572.SZ  安车检测 电器仪表  590 5year 当前价格：44.74 估计价格：40.62
603037.SH  凯众股份 汽车配件  590 4year 当前价格：15.62 估计价格：7.38
603528.SH  多伦科技 软件服务  580 5year 当前价格：8.29 估计价格：4.03
600885.SH  宏发股份 电气设备  580 25year 当前价格：32.23 估计价格：24.84
600688.SH  上海石化 石油加工  580 28year 当前价格：3.99 估计价格：1.36
603519.SH  立霸股份 家用电器  580 6year 当前价格：11.47 估计价格：9.82
603960.SH  克来机电 专用机械  580 4year 当前价格：31.50 估计价格：16.56
002626.SZ  金达威 食品  580 10year 当前价格：20.81 估计价格：21.30
002653.SZ  海思科 化学制药  580 9year 当前价格：20.89 估计价格：3.29
002360.SZ  同德化工 化工原料  580 11year 当前价格：4.98 估计价格：4.39
300725.SZ  药石科技 化工原料  580 4year 当前价格：84.53 估计价格：79.77
603997.SH  继峰股份 汽车配件  580 6year 当前价格：7.50 估计价格：3.04
300627.SZ  华测导航 通信设备  580 4year 当前价格：28.74 估计价格：81.34
002382.SZ  蓝帆医疗 医疗保健  580 11year 当前价格：16.24 估计价格：14.80
002883.SZ  中设股份 建筑工程  580 4year 当前价格：20.51 估计价格：21.77
300519.SZ  新光药业 中成药  580 5year 当前价格：13.47 估计价格：5.89
300697.SZ  电工合金 铜  580 4year 当前价格：13.98 估计价格：11.74
603883.SH  老百姓 医药商业  580 6year 当前价格：79.37 估计价格：49.12
300596.SZ  利安隆 化工原料  580 4year 当前价格：31.06 估计价格：79.60
603025.SH  大豪科技 IT设备  580 6year 当前价格：7.73 估计价格：1.30
600933.SH  爱柯迪 汽车配件  580 4year 当前价格：11.84 估计价格：5.56
002879.SZ  长缆科技 电气设备  570 4year 当前价格：17.96 估计价格：12.49
600872.SH  中炬高新 食品  570 26year 当前价格：51.01 估计价格：30.59
603601.SH  再升科技 玻璃  570 6year 当前价格：12.13 估计价格：6.97
002664.SZ  长鹰信质 汽车配件  570 9year 当前价格：13.30 估计价格：37.06
000501.SZ  鄂武商A 百货  570 29year 当前价格：11.19 估计价格：27.53
600828.SH  茂业商业 百货  570 27year 当前价格：3.67 估计价格：23.45
002882.SZ  金龙羽 电气设备  570 4year 当前价格：10.04 估计价格：17.89
603383.SH  顶点软件 软件服务  570 4year 当前价格：57.74 估计价格：16.68
300347.SZ  泰格医药 医疗保健  570 9year 当前价格：77.00 估计价格：193.61
002853.SZ  皮阿诺 家居用品  570 4year 当前价格：16.98 估计价格：49.33
002847.SZ  盐津铺子 食品  570 4year 当前价格：77.34 估计价格：30.55
603608.SH  天创时尚 服饰  570 5year 当前价格：9.26 估计价格：4.83
601966.SH  玲珑轮胎 汽车配件  570 5year 当前价格：22.07 估计价格：34.69
603877.SH  太平鸟 服饰  570 4year 当前价格：14.30 估计价格：37.18
002078.SZ  太阳纸业 造纸  570 15year 当前价格：8.35 估计价格：13.88
002706.SZ  良信电器 电气设备  570 7year 当前价格：14.05 估计价格：20.60
002917.SZ  金奥博 化工原料  570 4year 当前价格：14.75 估计价格：12.05
300127.SZ  银河磁体 元器件  570 11year 当前价格：15.90 估计价格：5.35
601186.SH  中国铁建 建筑工程  570 13year 当前价格：9.76 估计价格：16.15
600995.SH  文山电力 水力发电  570 17year 当前价格：7.88 估计价格：8.16
600018.SH  上港集团 港口  560 15year 当前价格：4.18 估计价格：3.92
300428.SZ  四通新材 铝  560 6year 当前价格：14.51 估计价格：42.58
601799.SH  星宇股份 汽车配件  560 10year 当前价格：108.21 估计价格：92.27
300639.SZ  凯普生物 医疗保健  560 4year 当前价格：31.93 估计价格：33.52
000603.SZ  盛达资源 铅锌  560 25year 当前价格：11.97 估计价格：122.85
603080.SH  新疆火炬 供气供热  560 3year 当前价格：13.20 估计价格：6.95
002223.SZ  鱼跃医疗 医疗保健  560 13year 当前价格：34.99 估计价格：20.77
300579.SZ  数字认证 软件服务  560 5year 当前价格：44.78 估计价格：9.95
603515.SH  欧普照明 电气设备  560 5year 当前价格：24.49 估计价格：37.97
600305.SH  恒顺醋业 食品  560 20year 当前价格：19.65 估计价格：14.08
